#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-23T00:37:41 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-23T00:37:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-out.src=J/MNRAS/371/703/catalog&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/371/703/catalog&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=E(B-V)&-out=SpType&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73710703
#Name: J/MNRAS/371/703
#Title: MILES library of empirical spectra (Sanchez-Blazquez+, 2006)
#INFO	ivoid=ivo://cds.vizier/j/mnras/371/703	    IVOID of underlying data collection
#INFO	creator=Sanchez-Blazquez P.	    First author or institution
#INFO	cites=bibcode:2006MNRAS.371..703S	    Article or Data origin sources
#INFO	original_date=2006	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/371/703	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73710703	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_371_703_catalog:
#Name: J/MNRAS/371/703/catalog
#Title: MILES star catalogue (08 Apr 2024 corrected version)
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a16)	Object name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	E(B-V)	(F6.3)	? Redenning	[ucd=phot.color.excess]
#Column	SpType	(a14)	MK spectral type	[ucd=src.spType]
_RAJ2000;_DEJ2000;Name;RAJ2000;DEJ2000;E(B-V);SpType
deg;deg; ;"h:m:s";"d:m:s";mag;
-----------;-----------;----------------;-----------;-----------;------;--------------
000.5422917;+27.0822500;HD224930        ;00 02 10.15;+27 04 56.1; 0.011;G3 V
001.1255000;-10.5095278;HD225212        ;00 04 30.12;-10 30 34.3; 0.204;K3Ibvar
001.2240000;+34.6598056;HD225239        ;00 04 53.76;+34 39 35.3; 0.050;G2V
001.2884583;+30.3290278;HD000004        ;00 05 09.23;+30 19 44.5; 0.037;F0
001.8440000;+26.4505833;HD000249        ;00 07 22.56;+26 27 02.1; 0.037;K1IV
001.9454167;-22.5085556;HD000319        ;00 07 46.90;-22 30 30.8; 0.012;A1V
002.1705833;+36.6271111;HD000400        ;00 08 40.94;+36 37 37.6; 0.007;F8IV
002.2117917;+86.7878889;HD000245        ;00 08 50.83;+86 47 16.4; 0.000;G2V
002.2600833;+18.2119722;HD000448        ;00 09 02.42;+18 12 43.1; 0.025;G9III
003.1262917;+14.5635278;BD+130013       ;00 12 30.31;+14 33 48.7; 0.011;K0
003.3089583;+15.1835833;HD000886        ;00 13 14.15;+15 11 00.9; 0.015;B2IV
004.5953333;+44.0229444;HD001326B       ;00 18 22.88;+44 01 22.6; 0.001;M6 V
004.6744583; -8.0530000;HD001461        ;00 18 41.87;-08 03 10.8; 0.044;G0V
005.9301667;+45.0891389;HD001918        ;00 23 43.24;+45 05 20.9; 0.037;G9III
007.5306667;+29.7515556;HD002628        ;00 30 07.36;+29 45 05.6; 0.012;A7III
007.6893333;+57.0648889;HD002665        ;00 30 45.44;+57 03 53.6; 0.051;G5IIIwe
007.8204583;-16.7946667;HD002796        ;00 31 16.91;-16 47 40.8; 0.010;Fw
007.9741250; -5.2619167;HD002857        ;00 31 53.79;-05 15 42.9;      ;A2 (HB)
008.3096250;-10.7285278;HD003008        ;00 33 14.31;-10 43 42.7; 0.020;K0
009.2201667;+33.7193333;HD003369        ;00 36 52.84;+33 43 09.6; 0.025;B5V
009.2428750;+53.8969167;HD003360        ;00 36 58.29;+53 53 48.9; 0.043;B2IV
009.6331250; -8.3092778;HD003567        ;00 38 31.95;-08 18 33.4; 0.000;F5V
009.6389167;+29.3117500;HD003546        ;00 38 33.34;+29 18 42.3; 0.000;G5III
009.7912083;+49.3545833;HD003574        ;00 39 09.89;+49 21 16.5; 0.048;K5III
009.8408750;+21.2504722;HD003651        ;00 39 21.81;+21 15 01.7; 0.084;K0V
010.1367083;-23.8048611;HD003795        ;00 40 32.81;-23 48 17.5; 0.010;G3/G5V
010.4001667;+24.6290000;HD003883        ;00 41 36.04;+24 37 44.4; 0.017;A7m
011.3695417;-12.8808056;HD004307        ;00 45 28.69;-12 52 50.9; 0.000;G0V
011.5572917;-11.4523889;HD004395        ;00 46 13.75;-11 27 08.6; 0.076;G5
011.8717500; +9.9821389;HD004539        ;00 47 29.22;+09 58 55.7; 0.008;A
012.0957500; +5.2806111;HD004628        ;00 48 22.98;+05 16 50.2; 0.001;K2V
012.1705833; +7.5850833;HD004656        ;00 48 40.94;+07 35 06.3; 0.000;K5III
012.4699583;+30.4502778;HD004744        ;00 49 52.79;+30 27 01.0; 0.010;G8IV
012.8085417;+18.7903056;HD004906        ;00 51 14.05;+18 47 25.1; 0.028;G0
013.5732917; -8.7406667;HD005268        ;00 54 17.59;-08 44 26.4; 0.000;G5IV
013.9266667; -7.3471389;HD005384        ;00 55 42.40;-07 20 49.7; 0.012;K5III
014.1662500;+59.1810556;HD005395        ;00 56 39.90;+59 10 51.8; 0.000;G8III-IV
014.8471250; +0.7787778;HD005780        ;00 59 23.31;+00 46 43.6; 0.000;K5II-III
015.3292500;+45.4520556;HD005916        ;01 01 19.02;+45 27 07.4; 0.000;G8III-IV
015.7358750; +7.8901389;HD006186        ;01 02 56.61;+07 53 24.5; 0.000;G9III
015.7605833; -4.8366111;HD006203        ;01 03 02.54;-04 50 11.8; 0.024;K0III-IV
015.8257083;-27.8805278;HD006268        ;01 03 18.17;-27 52 49.9; 0.020;G:w?
015.9018750;+23.7684444;HD006229        ;01 03 36.45;+23 46 06.4; 0.000;G5IIIw
016.7489167;+63.7731667;HD006474        ;01 06 59.74;+63 46 23.4; 0.987;G4Ia
016.7507083;+56.9349722;HD006497        ;01 07 00.17;+56 56 05.9; 0.014;K2III...
017.0682917;+54.9203333;HD006582        ;01 08 16.39;+54 55 13.2; 0.000;G5Vp
017.1474583;-10.1822500;HD006805        ;01 08 35.39;-10 10 56.1; 0.000;K2III
017.1870000;+86.2570833;HD005848        ;01 08 44.88;+86 15 25.5; 0.052;K2II-III
017.3969167;+39.7810556;HD006834        ;01 09 35.26;+39 46 51.8; 0.005;F2
017.4294167;+61.5472778;HD006755        ;01 09 43.06;+61 32 50.2; 0.060;F8V
017.4677500;+54.7389722;HD006833        ;01 09 52.26;+54 44 20.3; 0.047;G8III
017.9151667;+30.0896389;HD007106        ;01 11 39.64;+30 05 22.7; 0.011;K0.5IIIb
018.5204583;+28.5295833;HD007351        ;01 14 04.91;+28 31 46.5; 0.048;M2S?
018.5317917;+16.1334722;HD007374        ;01 14 07.63;+16 08 00.5; 0.040;B8III
018.8730417;-28.2648889;HD007595        ;01 15 29.53;-28 15 53.6; 0.044;K2III-IV
019.1512083; -2.5003611;HD007672        ;01 16 36.29;-02 30 01.3; 0.076;G5IIIe
021.5732917;+17.1264167;HD008724        ;01 26 17.59;+17 07 35.1; 0.020;G5
021.7148333;-13.0565000;HD008829        ;01 26 51.56;-13 03 23.4; 0.006;F0V
022.5462917; +6.1438056;HD009138        ;01 30 11.11;+06 08 37.7; 0.002;K4III
023.0340417; +1.3417222;HD009356        ;01 32 08.17;+01 20 30.2; 0.054;F0
023.4285000; -7.0253333;HD009562        ;01 33 42.84;-07 01 31.2; 0.000;G2IV
023.4828333;+59.2320278;HD009408        ;01 33 55.88;+59 13 55.3; 0.008;K0III
024.1993333;+41.4054444;HD009826        ;01 36 47.84;+41 24 19.6; 0.004;F8V
024.2746667;+12.1415278;HD009919        ;01 37 05.92;+12 08 29.5; 0.006;F0V
025.3578750; +5.4876111;HD010380        ;01 41 25.89;+05 29 15.4; 0.025;K3III
025.4464167;+42.6133611;HD010307        ;01 41 47.14;+42 36 48.1; 0.010;G2V
026.0170000;-15.9374722;HD010700        ;01 44 04.08;-15 56 14.9; 0.004;G8V
026.8015833;+73.4742222;BD+720094       ;01 47 12.38;+73 28 27.2; 0.135;sdF2:
026.9367917;+63.8525000;HD010780        ;01 47 44.83;+63 51 09.0;      ;K0V
027.1621667;+37.9528611;HD010975        ;01 48 38.92;+37 57 10.3; 0.025;K0III
027.7165417;+11.0433889;HD011257        ;01 50 51.97;+11 02 36.2; 0.040;F2Vw
027.9188750;-16.3176389;HD011397        ;01 51 40.53;-16 19 03.5; 0.070;G6IV/V
029.2900000;-10.2424167;HD011964        ;01 57 09.60;-10 14 32.7; 0.033;G5
029.9620417;+59.1608333;HD012014        ;01 59 50.89;+59 09 39.0; 1.040;K0Ib
030.3113333;-30.0018333;HD012438        ;02 01 14.72;-30 00 06.6; 0.226;G5III
031.8927917; -0.6174167;HD013043        ;02 07 34.27;-00 37 02.7; 0.007;G2V
032.6022083;+29.8065833;BD+290366       ;02 10 24.53;+29 48 23.7; 0.000;F8V
032.8716250;+57.6455556;HD013267        ;02 11 29.19;+57 38 44.0; 0.417;B5Ia
033.2003333;+21.2110000;HD013555        ;02 12 48.08;+21 12 39.6; 0.000;F5V
033.3055000;+44.2316389;HD013520        ;02 13 13.32;+44 13 53.9; 0.020;K4III
033.6679167; -1.2014167;BD-010306       ;02 14 40.30;-01 12 05.1; 0.000;G1V
